Date,Open,High,Low,Close,Adj Close,Volume (in Exp),day ,month,year,Volume
15-04-2005,4.757256985,4.763263226,4.62112093,4.629630089,4.612907887,462632904,15,4,2005,462632904
18-04-2005,4.619119167,4.701702118,4.591842175,4.678928852,4.662028313,261749988,18,4,2005,261749988
19-04-2005,4.737987995,4.804804802,4.705454826,4.789790154,4.772489548,336862800,19,4,2005,336862800
20-04-2005,4.96946907,5.017518044,4.902653217,4.957457066,4.9395504,617441940,20,4,2005,617441940
21-04-2005,5.015515804,5.130129814,4.987987995,5.110610962,5.092151642,709365924,21,4,2005,709365924
22-04-2005,5.578077793,5.605606079,5.361862183,5.400650978,5.38114357,1326875796,22,4,2005,1326875796
25-04-2005,5.450951099,5.62412405,5.443442822,5.593843937,5.573639393,792806400,25,4,2005,792806400
26-04-2005,5.511011124,5.55555582,5.462712765,5.474224091,5.454451084,690189120,26,4,2005,690189120
27-04-2005,5.455204964,5.526776791,5.423923969,5.5,5.48013401,410181408,27,4,2005,410181408
28-04-2005,5.492992878,5.55755806,5.448197842,5.491742134,5.471906185,346964688,28,4,2005,346964688
29-04-2005,5.553302765,5.561811924,5.450951099,5.505506039,5.485620499,366441192,29,4,2005,366441192
02-05-2005,5.556807041,5.598097801,5.510760784,5.562812805,5.542720318,390305304,2,5,2005,390305304
03-05-2005,5.551802158,5.709458828,5.538538933,5.660409927,5.639964581,710496792,3,5,2005,710496792
04-05-2005,5.686436176,5.752752781,5.680681229,5.71821785,5.697563648,482856660,4,5,2005,482856660
05-05-2005,5.72122097,5.72122097,5.652653217,5.680180073,5.6596632,300083616,5,5,2005,300083616
06-05-2005,5.715715885,5.736987114,5.667417049,5.706205845,5.685595036,270285444,6,5,2005,270285444
09-05-2005,5.70570612,5.71821785,5.6413908,5.656156063,5.635725975,221250528,9,5,2005,221250528
10-05-2005,5.642392159,5.700701237,5.623623848,5.700701237,5.680109978,253578168,10,5,2005,253578168
11-05-2005,5.729979992,5.805305004,5.70395422,5.788037777,5.767131329,458692848,11,5,2005,458692848
12-05-2005,5.776025772,5.811562061,5.710711002,5.723723888,5.70304966,357570072,12,5,2005,357570072
13-05-2005,5.735235214,5.783032894,5.688689232,5.736736774,5.716015816,296323380,13,5,2005,296323380
16-05-2005,5.747747898,5.79629612,5.719970226,5.782032013,5.761147499,227028744,16,5,2005,227028744
17-05-2005,5.769770145,5.842092037,5.760760784,5.834084034,5.813011169,312043644,17,5,2005,312043644
18-05-2005,5.846096039,6.005255222,5.843843937,5.984984875,5.963367462,491987520,18,5,2005,491987520
19-05-2005,6.014514923,6.035284996,5.962712765,5.985485077,5.963865757,388271340,19,5,2005,388271340
20-05-2005,6.036285877,6.047798157,5.997247219,6.04629612,6.024456978,326213460,20,5,2005,326213460
23-05-2005,6.085084915,6.458959103,6.073823929,6.392642975,6.369553089,854676468,23,5,2005,854676468
24-05-2005,6.430429935,6.642642975,6.343843937,6.406405926,6.383266449,1160562276,24,5,2005,1160562276
25-05-2005,6.324574947,6.531031132,6.27202177,6.526776791,6.503202438,721593684,25,5,2005,721593684
26-05-2005,6.53053093,6.600601196,6.463963985,6.486485958,6.463057518,541322136,26,5,2005,541322136
27-05-2005,6.518017769,6.657907963,6.487738132,6.656657219,6.632613659,486876636,27,5,2005,486876636
31-05-2005,6.742492199,6.966967106,6.740991116,6.938689232,6.913627148,888582528,31,5,2005,888582528
01-06-2005,7.087087154,7.32957983,7.05755806,7.207207203,7.181174755,1406260332,1,6,2005,1406260332
02-06-2005,7.225474834,7.2517519,7.122121811,7.204705238,7.17868185,718245036,2,6,2005,718245036
03-06-2005,7.17692709,7.239739895,6.942192078,7.013514042,6.988181114,750540708,3,6,2005,750540708
06-06-2005,7.066816807,7.351100922,7.05280304,7.280780792,7.254482746,900134964,6,6,2005,900134964
